"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"Dispute","E-900000010","Invalid combination of VisaCaseNumber and DisputePreArbResponseId.","Scenario 1: User submitted a SIGetDisputePreArbResponseDetailsRequest by specifiying invalid combinations of VisaCaseNumber and DisputePreArbResponseId. Please correct and re-submit.

Scenario 2: User submitted a SICreateDisputePreArbResponseRequest that was pended or submitted for review, by specifiying invalid combinations of VisaCaseNumber and DisputePreArbResponseId. Please correct and re-submit."
"Dispute","E-900000011","Invalid combination of VisaCaseNumber and DisputeResponseId.","Scenario 1: User submitted a SIGetDisputeResponseDetailsRequest by specifiying invalid combinations of VisaCaseNumber and DisputeResponseId. Please correct and re-submit.

Scenario 2: User submitted a SICreateDisputeResponseRequest that was pended or submitted for review, by specifiying invalid combinations of VisaCaseNumber and DisputeResponseId. Please correct and re-submit."
"Dispute","E-900000012","This action is not permitted while the case is in this status.","User submitted a SISubmitDisputeQuestionnaireRequest or SICreateDisputePreCompRequest by specifiying a VisaCaseNumber that already has an ongoing dispute dialogue. Please correct the case number and re-submit."
"Dispute","E-900000013","The Dispute form cannot be recalled at this time.","Initiator tries to recall the dispute that does not qualify for recall."
"Dispute","E-900000014","Invalid combination of VisaCaseNumber, AssociatedTransGroupId,  RolTransactionId and Associated.","User submitted a SIAssociatedTranSelectionRequest by specifying invalid combinations of VisaCaseNumber and/or AssociatedTransGroupId and/or RolTransactionId and/or Associated. Please correct and re-submit."
"Dispute","E-900000015","Invalid combination of VisaCaseNumber and ContactMessageId.","User submitted a SIGetContactMessageDetailsRequest by specifiying invalid combinations of VisaCaseNumber and ContactMessageId. Please correct and re-submit."
"Dispute","E-900000016","Invalid combination of VisaCaseNumber and ContactMessageResponseId.","User submitted a SIGetContactMessageResponseDetailsRequest by specifiying invalid combinations of VisaCaseNumber and ContactMessageResponseId. Please correct and re-submit."
"Dispute","E-900000017","Invalid combination of VisaCaseNumber and DisputeFilingItemId.","Scenario 1: User submitted a SIGetDisputeFilingDetailsRequest by specifiying invalid combinations of VisaCaseNumber and DisputeFilingItemId. Please correct and re-submit. 

Scenario 2: User submitted a SISubmitDisputeFilingRequest that was pended or submitted for review, by specifiying invalid combinations of VisaCaseNumber and DisputeFilingItemId. Please correct and re-submit."
"Dispute","E-900000018","No Visa Repository matching transaction found for the selected DPS Repository transaction.","For a given DTRS transaction detail, VROL performs an Auto-TI and no match is found in the Visa repository."
"Dispute","E-900000019","Multiple Visa Repository matching transactions found for the selected DPS Repository transaction.","For a given DTRS transaction detail, VROL performs an Auto-TI and multiple matches are found in the Visa repository."
"Dispute","E-900000020","This action is not allowed since the dispute questionnaire is already submitted.","User tries to attach an image to a dispute form which has already been submitted."
"Dispute","E-900000024","DisputeAmountChangeReason is required when the DisputeAmount is not equal to TransactionAmount.","User submitted a SISubmitDisputeQuestionnaireRequest with a DisputeAmount that is not equal to TransactionAmount. In such cases, DisputeAmountChangeReason is a required field. Please correct and re-submit"
"Dispute","E-900000025","The Dispute has already been recalled. Your changes will not be saved.","User submitted a SIChangeDisputeStatusRequest with a Recall action on an already recalled Dispute."
"Dispute","E-900000026","A dispute cannot be submitted in a case with an active case filing.","User submitted a SISubmitDisputeQuestionnaireRequest in a case that already has an active Case Filing."
"Dispute","E-900000027","This case already contains an active dispute with Dispute Id <DisputeId>.","Scenario 1:
User submitted a SISubmitDisputeQuestionnaireRequest in a case that already has an active Dispute.

VROL will not allow multiple disputes in certain situations but not limited to situations where all existing disputes in the case are pended or submitted for review (active in-process dispute), or the case contains a successfully submitted dispute (active submitted dispute), or if a dispute financial has been rejected by VisaNet (active rejected dispute).

Scenario 2:
User submitted a SISubmitDisputeQuestionnaireRequest in a case with a different dispute category that already has an active Dispute of a particular category.

E.g.: User tries to initiate a Authorization dispute from IAV when a saved Fraud Disptue is already present.

Scenario 3:
User tries to continue the dispute once the Dispute has crossed Dispute Pre-Arbitration Response stage

After this stage, user needs to submit Arbitration"
"Dispute","E-900000028","Invalid DisputeId.","User submitted service requests by specifying an invalid Disptue Id. Please correct and re-submit.

This includes SIChangeDisputeStatusRequest used for deleting disputes."
"Dispute","E-900000029","This action is not available at this time.","Initiator submitted a dispute request and tries to follow-up. 

An initiator cannot respond unless other side responds or the delivered response has been recalled or the dispute time frame has expired or Dispute has closed.

An initiator tries to initiate Dispute Pre-Compliance a second time

User tries to initiate a legacy request although the transaction is VCR eligible."
"Dispute","E-900000030","The user does not have permission to delete a dispute questionnaire.","User who does not have permissions to delete a Dispute tries to delete it."
"Dispute","E-900000031","The dispute cannot be deleted.","User submits SIChangeDisputeStatusRequest to delete a Dispute that is not in Saved or Not approved state"
"Dispute","E-900000032","This action is not allowed. The initiator of a form cannot accept it.","User who initiated the form tries to accept the same

E.g.: Issuer tries to accept Dispute, Acquirer tries to accept a Dispute Response"
"Dispute","E-900000033","This action is not allowed for saved Dispute questionnaires.","1. User tries to close a dispute that is Pended or Submitted for Review or Reviewed
2. User tries to delete a dispute but no active dispute is available"
"Dispute","E-900000034","This action is not allowed. Accept action cannot happen at this point of time.","User tries to accept the form when it should not be allowed.

Only in the following scenarios, accept action is allowed:
• Dispute response/timeframe has not expired;
• Dispute has not already been responded to; 
• Dispute has not been closed."
"Dispute","E-900000036","Invalid combination of VisaCaseNumber and DisputePreCompId.","Scenario 1: User submitted a SIGetDisputePrecompDetailsRequest by specifiying invalid combinations of VisaCaseNumber and DisputePreCompId. Please correct and re-submit.

Scenario 2: User submitted a SICreateDisputePrecompRequest that was pended or submitted for review, by specifiying invalid combinations of VisaCaseNumber and DisputePreCompId. Please correct and re-submit."
"Dispute","E-900000037","Invalid combination of VisaCaseNumber and DisputePreCompResponseId.","Scenario 1: User submitted a SIGetDisputePreCompResponseDetailsRequest by specifiying invalid combinations of VisaCaseNumber and DisputePreCompResponseId. Please correct and re-submit.

Scenario 2: User submitted a SICreateDisputePreCompResponseRequest that was pended or submitted for review, by specifiying invalid combinations of VisaCaseNumber and DisputePreCompResponseId. Please correct and re-submit."
"Dispute","E-900000038","Invalid combination of VisaCaseNumber and <DisputeId / DisputeResponseId / DisputePreArbId / DisputePreCompId / DisputePreArbResponseId / DisputePreCompResponseId>.","User submitted a SIGetAcceptanceNotificationdetailsRequest by specifiying invalid combinations of VisaCaseNumber and any of the ids - DisputeId or DisputeResponseId or DisputePreArbId or DisputePreCompId or DisputePreArbResponseId or DisputePreCompResponseId. Please correct and re-submit."
"Dispute","E-900000039","Invalid QuickFormId.","User tries to submit SISubmitQFDisputeQuestionnaireRequest with an invalid QuickFormID."
"Dispute","E-900000040","DisputeCategory is required.","User tries to submit SISubmitQFDisputeQuestionnaireRequest without DisputeCategory which is a mandatory field. 

Valid values are 10, 11, 12 or 13. Please correct and re-submit."
"Dispute","E-900000041","The dispute amount cannot be more than the difference between the transaction amount and the amount on the cardholder's receipt. Please correct the dispute amount to continue.","In the dispute questionnaire, when ""Is the dispute due to the difference between the quoted price and the actual charges made by the merchant?"" = No, VROL calculates the difference between the transaction amount and the amount on the cardholder's receipt.  The dispute amount should not be more than the difference."
"Dispute","E-900000042","Dispute questionnaire is missing one or more required attached documents.  Please correct and resubmit","User submitted various requests without the attachments/documents in scenarios where the same was mandatory. Please correct and resubmit."
"Dispute","E-900000043","This transaction is not qualified for VCR Dispute processing. Please create a Chargeback.","User submits SIInitiateDisputeFromTransactionOrCaseRequest or SIInitiatePreCompFromTransactionOrCaseRequest using data that is not qualified for Dispute processing."
"Dispute","E-900000044","This transaction is qualified for VCR Dispute processing. Please create a Dispute.","User submits SIDisputeQuestionnaireRequest using data that is qualifies for Dispute processing."
"Dispute","E-900000045","The Dispute Amount entered must be less than the Original Dispute Amount.","User tries to submit Pre-Arbitration request with a dispute amount that is more than the Original Dispute amount."
"Dispute","E-900000046","User tried to submit SIAssociatedTranSelectionRequest with a AssociatedTransGroupId that is already associated to a case and recorded as an ‘Associated Transactions Selection saved in case’ event.","User tried to submit SIAssociatedTranSelectionRequest with a AssociatedTransGroupId that is already associated to a case. Please correct and re-submit."
"Dispute","E-900000047","You must provide either VisaCaseNumber or RolTransactionId.","User submitted a SIInitiatePreCompFromTransactionOrCaseRequest / SISubmitDisputeQuestionnaireRequest without specifying either the VisaCaseNumber or RolTransactionId. Please correct and re-submit"
"Dispute","E-900000048","In order to continue, a different value for DisputeDueTo needs to be chosen.","Scenario 1: 
User submitted a SISubmitDisputeQuestionnaireRequest by choosing N for  CreditVoucherTransactionReceipt. Please correct and re-submit.

To avoid this error, a different value needs to be provided for ""<DisputeDueTo> "".

Scenario 2:
User submitted a SISubmitDisputeQuestionnaireRequest by choosing Y for  BalanceNotPaidGoodsOrServices. Please correct and re-submit.

To avoid this error, a different value needs to be provided for ""<DisputeDueTo> "".

Scenario 3:
User submitted a SISubmitDisputeQuestionnaireRequest by choosing N for  CardholderCancelServices. Please correct and re-submit.

To avoid this error, a different value needs to be provided for ""<DisputeDueTo> ""."
"Dispute","E-900000049","This action is not allowed. Dispute cannot be submitted without ATR selection."," User submits SISubmitDisputeQuestionnaireRequest without choosing ATR association although the value of ATRSelectionReqdInd was ‘Required’ in SIInitiateDisputeFromTransactionOrCaseResponse.

ATRs can be associated using SIAssociatedTranSelectionRequest."
"Dispute","E-900000050","A dispute already exists in the case. Hence this operation is not allowed.",
"Dispute","E-900000053","Pre-Arbitration cannot be initiated on a fully accepted dispute.","Scenario: Issuer tries to initiate Pre-Arbitration on a fully accepted dispute."
"Dispute","E-900000054","The Dispute Amount cannot be greater than or equal to the Transaction Amount. ","Scenario 1: In a Processing Error dispute, user tries to specify the Dispute Amount value greater than or equal to the Transaction Amount value.

Scenario 2: User tries to specify an amount that is more than the allowed dispute amount (when cashback amount is present)."
"Fraud Bundling","E-900000056","All selected transactions must have the same Card/Account Number.","User initiates Fraud Bundling for transactions that do not have the same card/account number."
"Fraud Bundling","E-900000057","All selected transactions must have the same Acquirer.","User initiates Fraud Bundling for transactions that do not have the same acquirer."
"Fraud Bundling","E-900000058","All selected transactions must have the same Merchant Location.","User initiates Fraud Bundling for transactions that do not have the same merchant location."
"Fraud Bundling","E-900000059","Each selected transaction must have a transaction amount that is less than 25 USD.","User initiates Fraud Bundling for transactions where one or more transaction has a transaction amount equal to or more than 25 USD."
"Fraud Bundling","E-900000060","Total transaction amount across all selected transactions must be less than or equal to cannot exceed 250 USD.","User initiates Fraud Bundling for transactions where the sum of transaction amounts of all selected transactions is more than 250 USD."
"Fraud Bundling","E-900000061","One or more selected transactions has a MCC Code that is not valid for Fraud Bundle disputes.","User initiates Fraud Bundling for transactions that do not have Digital Goods MCC Codes.

Notes: Digital Goods MCC Codes are 5815, 5816, 5817 and 5818."
"Fraud Bundling","E-900000062","You must select at least 2 transactions or cases for this action.","User initiates Fraud Bundling after selecting just a single transaction."
"Fraud Bundling","E-900000063","You cannot select more than 25 transactions for this action.","User initiates Fraud Bundling by selecting more than 25 transactions.

Notes: Fraud Bundling is supported for selecting 2-25 transactions."
"Fraud Bundling","E-900000064","All selected transactions must have the same Merchant.","User initiates Fraud Bundling for transactions that do not have the same mercant."
"ATR","E-900000065","VROL is not able to auto-match the associated transactions for one or more of the disputed transactions. You must dispute the transactions individually.","User tries to initiate dispute for multiple selected transactions and VROL is not able to auto-match ATR for each of the transactions being disputed."
"Fraud Bundle","E-900000068","The FraudBundleID specified is invalid or a Fraud bundling has already been completed or is in progress for the specified FraudBundleID.","User submits Get Fraud Bundling service either by specifying an invalid Fraund Bundle Id or by specifying an Id for which Fraud Bundling has already completed or is in progress."
"Dispute","E-900000070","Invalid DisputeCondtion.","User submits request with invalid values for Dispute Condtion. (valid values are 1, 2, 3, 4, 5, 6, 6.1, 6.2, 7, 8, 9)."
"Dispute","E-900000073","This transaction is not qualified for VCR Dispute Pre-Filing processing. Please create a Legacy Pre-Filing.","User submits SICreateDisputePreCompRequest using data that is not qualified for Dispute processing. SIDisputeQuestionnaireRequest needs to be submitted."
"Dispute","E-900000074","This transaction is qualified for VCR Dispute Pre-Filing processing. Please create a VCR Dispute.","User submits SIDisputeQuestionnaireRequest using data that is qualifies for Dispute processing. SICreateDisputePreCompRequest needs to be submitted."
"Dispute","E-900000075","Invalid Currency Code for this transaction.",
"Batch Queue","E-900000076","Invalid BatchQueueItemSID or there are no items for the specified BatchQueueItemSID in the queue.",
"Dispute","E-900000077","VROL could not submit the Exception File Listing. <VIP Error> Please resubmit the dispute without the Exception File Listing.",
"Dispute","E-900000078","VROL could not submit the Stop payment Order. <VIP Error> Please resubmit the dispute without the Stop Payment Order.",
"Dispute","E-900000079","The cardholder must attempt to resolve the dispute with the merchant unless it's prohibited by local law or regulations.","In the Consumer Dispute flow, user specifies N to AttemptToResolveProhLocalLaw."
"Dispute","E-900000080","Merchandise/Services Not Received  is valid for France domestic transactions only if the merchant is in liquidation or receivership.","In the Consumer Dispute flow, user specifies N to MerchantInLiquidationOrReceivershipInd."
"Dispute","E-900000081","Dispute initiation is still in progress for the specified combination of VisaCaseNumber and DisputeId. Please try again after sometime.","User submits SISubmitDisputeQuestionnaireRequest for a combination of  VisaCaseNumber and DisputeId for which background processing after SIInitiateDisputeFromTransactionOrCaseResponseis still in progress. The service needs to be submitted after sometime."
"Dispute","E-900000082","Fraud Report must be submitted before submitting Dispute.","User submits SISubmitDisputeQuestionnaireRequest without submitting the Fraud Report in a scenario where the same is mandatory. This error is displayed even during the Quickform Exception scenario."
"Transaction Inquiry (VCR)","E-900000083","The Transaction Inquiry results have expired and are no longer available. Please re-run the Transaction Inquiry.","Member tries to use the TI results seven days after the request."
"Dispute","E-900000084","The dispute amount provided is either negative or zero. Please provide a valid value for the dispute amount.","User tried to submit SISubmitDisputeQuestionnaireRequest by specifying a negative or zero value for dispute amount."
"Dispute","E-900000085","This action cannot be continued because the case does not have a pinned original transaction.","User tries to initiate a dispute on a manual transaction."
"Dispute","E-900000086","Zero financial amount is not allowed.","Block questionnaire if dispute amount is zero in any submissions (during initiation, partial response etc.)."
"Dispute","E-900000087","Invalid Date. ""Date and time of call"" cannot be a future date.","User tried to submit Fraud Dispute questionnaire by specifying a future date for the field - Date and time of call."
"Dispute","E-900000088","You submitted Arbitration filing with a currency (<currency code>) that is different from initiator's currency (<initiator currency code>).","During Arbitration filing, user submitted case filing amount currency that is different from initiator's dispute amount currency."
"Dispute","E-900000089","Terms of Contract (TC) is not a valid DisputeDueTo value for non-Commercial transactions.","Member submitted Dispute request with DisputeDueTo = TC for a non-commercial transaction. Kindly correct the value for DisputeDueTo and resend.

Non-Commercial transactions are those transactions that do not have a Product Id of AA or BB or YY."
"Dispute","E-900000090","With NameType <Personal Name/Business Name>, only the applicable <Personal Name/Business Name> fields should be provided.","User tries to submit the request by providing Personal Name fields when NameType is Business Name or provides both Personal Name and Business Name related fields."
"Dispute","E-900000091","Dispute Condition should be different than the one selected during dispute initiation.","Member tries to submit SICreateDisputePreArbRequest by specifying the same dispute condition as the one used during dispute initiation. 

Please change the dispute condition and re-submit."
"Dispute","E-900000092","You cannot create case for the selected original at this time. The original is missing some internal interchange fields which should be available shortly. Please re-try in three days.",
"Dispute","E-900000093","The Deferred Settlement Date of Original (DSDO) cannot be a future date.","ser tries to initiate a case for a Chile transaction where the DSOD is greater than the current date."
"REST","E-900000500","Resource Name is invalid.","User submitted any SOAP request by specifying a wrong resource name. Please correct and re-submit"
"Dispute","E-900001600","Dispute is invalid as a dispute already exists for the full transaction amount of this transaction or the sum of the dispute amounts equal to or more than the original transaction.",
,"E-900001600
E-900001600","Dispute is invalid as a dispute already exists for the full transaction amount of this transaction or the sum of the dispute amounts equal to more than the original transaction.
OR
Dispute exists for this transaction. Duplicate Dispute is not allowed.",
"Dispute","E-900001601","Dispute amount cannot be greater than the original transaction amount.",
"Dispute","E-900001602","Dispute has not met the minimum dispute amount requirements.",
"Dispute","E-900001603","Dispute submitted beyond the allowable time limits.",
"Dispute","E-900001604","Dispute submitted beyond the allowable time limits.",
"Dispute","E-900001605","Dispute has not met the minimum dispute amount requirements.",
"Dispute","E-900001606","Dispute submitted beyond the allowable time limits.",
"Dispute","E-900001607","Dispute is invalid for an Emergency Cash Disbursement transaction.","If Emergency Cash then ""Dispute is invalid for Emergency Cash Disbursement"" is displayed."
"Dispute","E-900001609","Dispute is submitted past the allowable time limit.",
"Dispute","E-900001610","Dispute is invalid under Dispute Conditions 10.1, 10.2, 10.3 or 10.4 as this transaction was approved after a prior fraud dispute or fraud report.",
"Dispute","E-900001611","Dispute is invalid under Dispute Condition 10.4, as more than 35 disputes were processed within 120 calendar days of this dispute.",
"Dispute","E-900001612","Dispute is invalid under Dispute Condition 10.4 when the Authorization message contained a CVV2 Results Indicator of U and a CVV2 presence indicator was either 1, 2 or 9.",
"Dispute","E-900001613","Dispute is invalid under Dispute Condition 10.4 when the Authorization message contained a CVV2 Results code of N and a CVV2 presence indicator was 1.",
"Dispute","E-900001614","Dispute is invalid under Dispute Condition 10.4 for a Verified by Visa transaction.",
"Dispute","E-900001615","Dispute is invalid under Dispute Condition 10.4 for a Verified by Visa transaction.",
"Dispute","E-900001616","Dispute is invalid under Dispute Condition 10.4 for a Verified by Visa transaction.",
"Dispute","E-900001617","Dispute is invalid under Dispute Condition 10.4 for a Verified by Visa transaction.",
"Dispute","E-900001619","Dispute is invalid under Dispute Conditions 10.2 and 10.3 as the transaction qualifies for Visa Easy Payment Service (VEPS) Transaction.",
"Dispute","E-900001620","Dispute has not met the minimum dispute amount requirements.",
"Dispute","E-900001622","Dispute is invalid under Dispute Condition 10.3 for an online-authorized chip-initiated unattended transaction.",
"Dispute","E-900001623","Dispute is invalid under Dispute Condition 10.3 for an unattended transaction that originated with a counterfeit card and the approved authorization contained a POS Entry Mode Code of 05, 07, 90 or 91.",
"Dispute","E-900001631","Dispute is invalid under Dispute Condition 12.4 as the issuer authorized the transaction for an account number not on their master file.",
"Dispute","E-900001632"," Dispute is invalid under Dispute Condition 12.4 as the transaction was chip-initiated with a valid cryptogram.",
"Dispute","E-900001634","Dispute is invalid under Dispute Condition 12.1 as the transaction was processed within the required time limit.",
"Dispute","E-900001636","Dispute is invalid under Dispute Condition 12.5 for a no-show or pre-payment transaction.",
"Dispute","E-900001641","Dispute is invalid under Dispute Condition 12.6 as the issuer failed to provide evidence that the first merchant passed on funds to the second merchant.",
"Dispute","E-900001643","Dispute is invalid under Dispute Condition 12.4 for Mass Transit Transactions.",
"Dispute","E-900001644","Dispute is invalid under Dispute Category 11.1 as the account was not listed on the CRB and online authorization was not required for this transaction type.",
"Dispute","E-900001647","Invalid dispute under this Dispute Category 11.3 as an approval was received and the merchant is allowed special authorization request allowances.",
"Dispute","E-900001648","Dispute is invalid under Dispute Category 11.1 as the transaction amount is below the applicable Merchant floor limit.",
"Dispute","E-900001649","Dispute is invalid under Dispute Category 11.3 as the transaction amount is below the applicable Merchant floor limit.",
"Dispute","E-900001651","Dispute is invalid under Dispute Condition 11.1, as the transaction did not require online authorization and the account was not listed on the CRB.",
"Dispute","E-900001653","Dispute invalid under dispute condition 11.1 as the account number or BIN Range was not listed on the CRB within 10 days of the transaction processing date. (as the transaction date is not transmitted in the clearing record)",
"Dispute","E-900001654","Dispute is invalid under Dispute Condition 11.1 as the transaction qualified for the EMV liability shift and the transaction took place at a Chip Reading Device.",
"Dispute","E-900001656","Dispute is invalid under Dispute Condition 11.3 (No Authorization) as the Transaction was approved via Stand-In Processing (STIP).",
"Dispute","E-900001660","Dispute is invalid under Dispute Condition 13.1 as the dispute is more than 120 calendar days from the Transaction Processing Date.",
"Dispute","E-900001661","Dispute is invalid under Dispute Condition 13.1 if the transaction has been reported as fraud.",
"Dispute","E-900001669","Dispute is invalid under Dispute Condition 13.1 as the issuer did not wait 15 calendar days from the attempt to return date.",
"Dispute","E-900001674","Dispute is invalid under Dispute Condition 13.2 as the dispute is more than 120 calendar days from the Transaction Processing Date.",
"Dispute","E-900001677","Dispute is invalid under Dispute Condition 13.6 as the dispute is beyond 120 calendar days from the date of the credit voucher.",
"Dispute","E-900001678","Dispute is invalid under Dispute Condition 13.6 as the issuer did not wait 15 calendar days from the date of the credit transaction receipt.",
"Dispute","E-900001680","Dispute is invalid under Dispute Condition 13.3 as the dispute is beyond 120 calendar days from the Transaction CPD or date the cardholder received/expected to receive the merchandise/services or 60 calendar days from first notification of cardholder dispute or 540 calendar days from Transaction CPD.",
"Dispute","E-900001685","Dispute is invalid under Dispute Condition 13.3 as the issuer failed to wait 15 calendar days from the date of cancellation.",
"Dispute","E-900001689","Dispute is invalid under Dispute Condition 13.3 as the dispute is beyond 120 calendar days from the date the damaged goods were received.",
"Dispute","E-900001691","Dispute is invalid under Dispute Condition 13.3 as the issuer failed to wait 15 calendar days from the date of return/attempt to return.",
"Dispute","E-900001693","Dispute is invalid under Dispute Condition 13.3 as the dispute is beyond 120 calendar days from the Transaction Processing Date or date the cardholder received/expected to receive the merchandise/services.",
"Dispute","E-900001694","Dispute is invalid under Dispute Condition 13.3 as the dispute is beyond 120 calendar days from the Transaction Processing Date or date the cardholder received/expected to receive the merchandise/services or beyond 60 calendar days from first notification of cardholder dispute.",
"Dispute","E-900001700","Dispute is invalid under Dispute Condition 13.4 as the dispute is beyond the timeframe of 120 calendar days from the Transaction Processing Date or date the cardholder received/expected to receive the merchandise/services or beyond 540 calendar days from the Transaction CPD.",
"Dispute","E-900001702","Dispute is invalid under Dispute Condition 13.5 as it is beyond 120 calendar days from the Transaction CPD or date the cardholder received/expected to receive the merchandise/services or 60 calendar days from first notification of cardholder dispute or beyond 540 calendar days from Transaction CPD.",
"Dispute","E-900001703","Dispute is invalid under Dispute Condition 13.5 as the dispute does not involve one of the approved merchant types.",
"Dispute","E-900001704","Dispute is invalid under Dispute Condition 13.5 as the cardholder failed to make a valid attempt to cancel/return.",
"Dispute","E-900001707","Dispute is invalid under Dispute Condition 13.7 as the dispute is beyond 120 calendar days from the Transaction Processing Date or date the cardholder received/expected to receive the services.",
"Dispute","E-900001714","Dispute is invalid under Dispute Condition 10.3 as the transaction was electronically read.",
"Dispute","E-900001731","Dispute is invalid for ATM Transactions.",
"Dispute","E-900001732","Dispute is invalid under Dispute Conditions 10.4, 13.2 and 13.8 for PIN-Authenticated Visa Debit transactions.",
"Dispute","E-900001733","Dispute is invalid for Original Credit transactions.",
"Dispute","E-900001742","Dispute is invalid under Dispute Condition 10.1 because the transaction was approved after the CVV failed verification.",
"Dispute","E-900001746","Dispute is invalid under Dispute Condition 10.1 because the transaction contained a Token.",
"Dispute","E-900001757","Dispute is invalid under Dispute Conditions 10.2 and 10.3 as the transaction involved a Mass Transit Transaction.",
"Dispute","E-900001758","Dispute is invalid under Dispute Conditions 10.1, 10.2, 10.3, and 10.4 if the transaction was fraud reported as type 3 (Fraud Application).",
"Dispute","E-900001759","Dispute is invalid under Dispute Condition 10.4 as the AVS Result Code was a U and the authorization contained address data.",
"Dispute","E-900001762","Dispute is invalid under Dispute Conditions 13.2, 13.3, 13.4, 13.5, 13.6, 13.7, 13.8 or 13.9 when the transaction involves ATM.",
"Dispute","E-900001764","Dispute is invalid under Dispute Condition 13.2 as it involves an installment transaction.",
"Dispute","E-900001765","The dispute is invalid under Dispute Conditions 13.1, 13.3, 13.5 and 13.7 for VPAY transactions when it is not MOTO/Ecommerce.",
"Dispute","E-900001767","The dispute is invalid under Dispute Conditions 13.1, 13.6 or 13.7 for Automated Fuel Dispensers (AFD) transactions.",
"Dispute","E-900001771","The dispute is invalid under dispute Condition 13.8 when the transaction is not Original Credit Transactions (OCT).",
"Dispute","E-900001773","The dispute is invalid under Dispute Condition 13.9 when the transaction has been fraud reported.",
"Dispute","E-900001782","Dispute is invalid under Dispute Conditions 12.1 and 12.2 for VPAY transactions.",
"Dispute","E-900001784","Dispute is invalid for Condition 12.3 for transactions settled in USD originating at an ATM located outside the US and connected to the Plus system.",
"Dispute","E-900001785","Dispute is invalid under Dispute Condition 12.7 for Transactions where there is either no authorization approval or a declined authorization.",
"Dispute","E-900001786","Dispute is invalid under Dispute Condition 12.7 as dispute submitted beyond the allowable time limit.",
"Dispute","E-900001787","Dispute is invalid under Dispute Condition 12.4 because a valid authorization was obtained.",
"Dispute","E-900001788","Dispute is invalid under Dispute Condition 13.1 as the issuer did not wait 15 calendar days from the return/attempt to return date.",
"Dispute","E-900001792","Dispute is invalid under Dispute Condition 10.2 for a Contactless, ATM or VEPS transaction.",
"Dispute","E-900001794","Dispute is invalid under Dispute Condition 10.4 when the Issuer is not an Address Verification Service (AVS) participant and the AVS result code is U.",
"Dispute","E-900001796","Dispute is invalid under Dispute Condition 12.4 as the account number on the receipt matches the account number processed.",
"VMPI","E-900001797","Cardholder consent is required for this transaction and was not obtained. VMPI (purchase details) data is not available.","IF the user does not give consent, display error message in the Tran Details PI subsection"
"VMPI","E-900001798","The merchant has disabled use of VMPI (purchase details) on this interface.","If issuer host system requests VMPI data through RTSI call (seeing that the PI Eligibility was ‘Yes’), VROL will return an error (ideally something like, “RTSI is not available for VMPI.  To get VMPI data, please use the VROL User Interface”)"
"VCPI","E-900001799","There were multiple records found for this request. Please correct and resubmit.","Two authorizations only or two sale only, log an error"
"VCPI","E-900001801","Required fields for this request are missing. Please provide <missingFiledname> and resubmit.","User has not provided mandatory fields ( cardnum ,tranDate, amount)"
"VCPI","E-900001802","One or more required fields are missing. Please correct the following errors <Missing field names>","This field along with either <TransactionID> or <AuthCode> are required in the request"
"Dispute","E-900001803","Dispute is invalid under Dispute Condition 11.3 as an authorization was approved after a declined response.",
"Dispute","E-900001804","Dispute is invalid under Dispute Condition 13.3 as the dispute is beyond 120 calendar days  from the Transaction Processing Date or date the cardholder received/expected to receive the merchandise/services beyond 60 calendar days from first notification of cardholder dispute or beyond 540 calendar days from the Transaction CPD.",
"Dispute","E-900001805","Dispute is invalid under Dispute Condition 13.1 as it was submitted beyond the allowable time limits.",
"Dispute","E-900001806","Dispute is invalid under Dispute Category 11.3 as the transaction received an approval.",
"Dispute","E-900001807","Dispute is invalid under Dispute Category 11.1 as the transaction was chip-initiated and below the merchant’s floor limit.",
"Dispute","E-900001808","Dispute is invalid as a credit or reversal is associated to the disputed transaction and the credit or reversal is equal to or greater than the transaction amount.",
"Dispute","E-900001814","Dispute is invalid under Dispute Condition 12.1 as the transaction was not processed within the required time limit.",
"Dispute","E-900001815","Dispute is invalid under Dispute Condition 13.5 as the dispute is beyond 120 calendar days  from the Transaction Processing Date or date the cardholder received/expected to receive the merchandise/services beyond 60 calendar days from first notification of cardholder dispute or beyond 540 calendar days from the Transaction CPD.",
"Dispute","E-900001816","Dispute is invalid under Dispute Condition 13.9 as it was submitted beyond the allowable time limits.",
"Dispute","E-900001817","Dispute is invalid under Dispute Condition 13.3 as it was submitted beyond the allowable time limits.",
"Case","I-120000001","Case processing succeeded.",
"Case Folder","I-120000002","Any Cardholder Contact Information updates need to be applied separately in the Card and Account Maintenance application","Any action that triggers the create new case workflow or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. If the cardholder data is retrieved from the AP Cardholder Database then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) prompting users to also make any updates via the Card and Account Maintenance (‘C&AM’) application."
"Case Folder","I-120000003","For the given card account number, the AP Cardholder Database was accessed but no data was found.","Any action that triggers the create new case workflow or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. While accessing the web service if no data is retrieved from AP Cardholder DB then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) stating the same."
